PERSON_ID,DISPLAY_FIRST_LAST
1642278,Tyler Kolek
1631132,Christian Koloko
1629723,John Konchar
1628436,Luke Kornet
1630249,Vít Krejčí
1630228,Jonathan Kuminga
1628398,Kyle Kuzma
1631222,Jake LaRavia
203897,Zach LaVine
1627746,Skal Labissiere
1629111,Jock Landale
1641796,Pelle Larsson
1630639,A.J. Lawson
1627747,Caris LeVert
1627814,Damion Lee
203458,Alex Len
202695,Kawhi Leonard
1642502,Malevy Leons
1641721,Maxwell Lewis
1630604,E.J. Liddell
203081,Damian Lillard
1641726,Dereck Lively II
1641753,Chris Livingston
1626172,Kevon Looney
201572,Brook Lopez
201567,Kevin Love
200768,Kyle Lowry
1641754,Seth Lundy
1626168,Trey Lyles
1630572,Sandro Mamukelashvili
1629611,Terance Mann
1630544,Tre Mann
1628374,Lauri Markkanen
1630230,Naji Marshall
1628997,Caleb Martin
1628998,Cody Martin
1641798,Jaylen Martin
1630231,KJ Martin
1631213,Tyrese Martin
1629726,Garrison Mathews
1631097,Bennedict Mathurin
1631255,Karlo Matković
1630178,Tyrese Maxey
1630540,Miles McBride
1642272,Jared McCain
1630644,Mac McClung
203468,CJ McCollum
204456,T.J. McConnell
1641755,Kevin McCullar Jr.
1630183,Jaden McDaniels
1629667,Jalen McDaniels
203926,Doug McDermott
1631121,Bryce McGowens
1629162,Jordan McLaughlin
1629098,Jack McVeigh
1629001,De'Anthony Melton
1630241,Sam Merrill
203995,Vasilije Micic
203114,Khris Middleton
1641706,Brandon Miller
1641801,Emanuel Miller
1641757,Jordan Miller
1631159,Leonard Miller
201988,Patty Mills
1629003,Shake Milton
1631303,Justin Minaya
1642434,Riley Minix
1631169,Josh Minott
1642274,Yves Missi
1642349,Ajay Mitchell
1630558,Davion Mitchell
1628378,Donovan Mitchell
1630596,Evan Mobley
1630600,Isaiah Mobley
1642367,Jonathan Mogbo
1628370,Malik Monk
1630541,Moses Moody
1631386,Taze Moore
1631111,Wendell Moore Jr.
1629630,Ja Morant
202693,Markieff Morris
1628420,Monté Morris
1630530,Trey Murphy III
1627749,Dejounte Murray
1627750,Jamal Murray
1631099,Keegan Murray
1631200,Kris Murray
1629004,Svi Mykhailiuk
1631250,Pete Nance
1626204,Larry Nance Jr.
1629614,Andrew Nembhard
1630174,Aaron Nesmith
1641803,Tristen Newton
1627777,Georges Niang
1630227,Daishen Nix
1630192,Zeke Nnaji
1641936,Miles Norris
1629669,Jaylen Nowell
203994,Jusuf Nurkić
1626220,Royce O'Neale
1626143,Jahlil Okafor
1629643,Chuma Okeke
1629006,Josh Okogie
1630168,Onyeka Okongwu
1630171,Isaac Okoro
1642439,Quincy Olivari
203482,Kelly Olynyk
1626162,Kelly Oubre Jr.
101108,Chris Paul
1626166,Cameron Payne
203901,Elfrid Payton
1627780,Gary Payton II
1641809,Drew Peterson
1641763,Julian Phillips
1629618,Jalen Pickett
1630590,Scotty Pippen Jr.
1631342,Daeqwon Plowden
203486,Mason Plumlee
1641764,Brandin Podziemski
1627751,Jakob Poeltl
1629673,Jordan Poole
1641854,Craig Porter Jr.
1629645,Kevin Porter Jr.
1629008,Michael Porter Jr.
1626171,Bobby Portis
204001,Kristaps Porziņģis
1642366,Quinten Post
1630695,Micah Potter
203939,Dwight Powell
1626181,Norman Powell
1627752,Taurean Prince
1630202,Payton Pritchard
1641765,Olivier-Maxence Prosper
1642389,Zyon Pullin
1630243,Trevelin Queen
1629674,Neemias Queta
1630193,Immanuel Quickley
1631311,Lester Quinones
203944,Julius Randle
1641871,Duop Reath
1630559,Austin Reaves
1629629,Cam Reddish
1630194,Paul Reed
1642024,Alex Reese
1641810,Antonio Reeves
1629675,Naz Reid
1631197,Jared Rhoden
1630208,Nick Richards
1626196,Josh Richardson
1642258,Zaccharie Risacher
1641857,Liam Robbins
1629130,Duncan Robinson
1629011,Mitchell Robinson
1631115,Orlando Robinson
1630526,Jeremiah Robinson-Earl
1631223,David Roddy
1631157,Ryan Rollins
1642050,Jackson Rowe
1626179,Terry Rozier
1641712,Rayan Rupert
1626156,D'Angelo Russell
1630346,Matt Ryan
1627734,Domantas Sabonis
1642275,Tidjane Salaün
1641766,Adama Sanogo
1630611,Gui Santos
1642259,Alex Sarr
1631204,Marcus Sasser
1631248,Baylor Scheierman
203471,Dennis Schröder
1630578,Alperen Sengun
1641729,Brice Sensabaugh
1629012,Collin Sexton
1629013,Landry Shamet
1630545,Terrence Shannon Jr.
1630549,Day'Ron Sharpe
1631101,Shaedon Sharpe
1642347,Jamal Shead
1641767,Ben Sheppard
1642263,Reed Sheppard
1627783,Pascal Siakam
1627732,Ben Simmons
1629014,Anfernee Simons
1642354,KJ Simpson
1631301,Jaylen Sims
1630579,Jericho Sims
203935,Marcus Smart
1630696,Dru Smith
1630188,Jalen Smith
1642449,Tolu Smith
1641890,Tyler Smith
1631095,Jabari Smith Jr.
1641733,Nick Smith Jr.
1631110,Jeremy Sochan
1642285,Cam Spencer
1630311,Pat Spencer
1630531,Jaden Springer
1641815,Isaiah Stevens
1630205,Lamar Stevens
1630191,Isaiah Stewart
1631124,Julian Strawther
1629622,Max Strus
1630591,Jalen Suggs
1631306,Cole Swider
1630256,Jae'Sean Tate
1628369,Jayson Tatum
1630678,Terry Taylor
202066,Garrett Temple
1631207,Dalen Terry
1628464,Daniel Theis
1630560,Cam Thomas
1641708,Amen Thompson
1641709,Ausar Thompson
202691,Klay Thompson
202684,Tristan Thompson
1630550,JT Thor
1629680,Matisse Thybulle
1630214,Xavier Tillman
1631166,Drew Timme
1641772,Nae'Qwan Tomlin
1631210,Jacob Toppin
1630167,Obi Toppin
1626157,Karl-Anthony Towns
1642422,Armel Traore
1631247,Luke Travers
1629018,Gary Trent Jr.
1631131,Oscar Tshiebwe
200782,P.J. Tucker
1626167,Myles Turner
1641816,Hunter Tyson
1642281,Jaylon Tyson
1630649,Stanley Umude
202685,Jonas Valančiūnas
1627832,Fred VanVleet
1629020,Jarred Vanderbilt
1630170,Devin Vassell
1629216,Gabe Vincent
1641774,Tristan Vukcevic
202696,Nikola Vučević
1629731,Dean Wade
1630532,Franz Wagner
1629021,Moritz Wagner
1631133,Jabari Walker
1641716,Jarace Walker
1629022,Lonnie Walker IV
1641717,Cason Wallace
1630811,Keaton Wallace
1641775,Jordan Walsh
1642266,Ja'Kobe Walter
1642276,Kel'el Ware
1629023,P.J. Washington
1631102,TyTy Washington Jr.
1630322,Lindy Waters III
1630570,Trendon Watford
1641817,Anton Watson
1631212,Peyton Watson
1642377,Jaylen Wells
1641705,Victor Wembanyama
1631104,Blake Wesley
201566,Russell Westbrook
1630762,Phillip Wheeler
1629632,Coby White
1628401,Derrick White
1641727,Dariq Whitehead
1641715,Cam Whitmore
1630598,Aaron Wiggins
203952,Andrew Wiggins
1631214,Alondes Williams
1630314,Brandon Williams
1642262,Cody Williams
1629684,Grant Williams
1631114,Jalen Williams
1631119,Jaylin Williams
1629026,Kenrich Williams
1631109,Mark Williams
1631466,Nate Williams
1630172,Patrick Williams
1630533,Ziaire Williams
1629057,Robert Williams III
1631246,Vince Williams Jr.
1629627,Zion Williamson
1630592,Jalen Wilson
1630164,James Wiseman
1631209,Isaiah Wong
1626153,Delon Wright
1627824,Guerschon Yabusele
1642385,Cui Yongxi
1642443,Jahmir Young
1629027,Trae Young
1627826,Ivica Zubac
1641783,Tristan da Silva
1628427,Vlatko Čančar
203967,Dario Šarić
